Date,Precip_mm
2022-01-01,0.16
2022-01-02,4.3
2022-01-03,0.01
2022-01-04,0.04
2022-01-05,0.06
2022-01-06,0.03
2022-01-07,0.0
2022-01-08,0.0
2022-01-09,0.08
2022-01-10,0.05
2022-01-11,0.01
2022-01-12,0.01
2022-01-13,0.0
2022-01-14,0.17
2022-01-15,9.93
2022-01-16,0.35
2022-01-17,0.04
2022-01-18,0.02
2022-01-19,0.01
2022-01-20,0.0
2022-01-21,0.01
2022-01-22,0.07
2022-01-23,0.72
2022-01-24,0.53
2022-01-25,0.05
2022-01-26,0.0
2022-01-27,0.01
2022-01-28,0.02
2022-01-29,0.0
2022-01-30,0.05
2022-01-31,0.0
2022-02-01,0.01
2022-02-02,0.8
2022-02-03,0.24
2022-02-04,0.0
2022-02-05,0.02
2022-02-06,0.01
2022-02-07,0.12
2022-02-08,0.0
2022-02-09,0.0
2022-02-10,0.01
2022-02-11,2.42
2022-02-12,0.22
2022-02-13,0.25
2022-02-14,0.13
2022-02-15,0.01
2022-02-16,0.0
2022-02-17,2.03
2022-02-18,0.43
2022-02-19,0.24
2022-02-20,0.0
2022-02-21,0.0
2022-02-22,0.53
2022-02-23,1.11
2022-02-24,0.01
2022-02-25,2.04
2022-02-26,0.1
2022-02-27,0.02
2022-02-28,0.0
2022-03-01,0.0
2022-03-02,0.0
2022-03-03,0.01
2022-03-04,0.0
2022-03-05,2.97
2022-03-06,8.0
2022-03-07,4.47
2022-03-08,0.27
2022-03-09,0.01
2022-03-10,0.15
2022-03-11,0.75
2022-03-12,0.0
2022-03-13,0.0
2022-03-14,0.0
2022-03-15,0.0
2022-03-16,0.01
2022-03-17,0.03
2022-03-18,5.42
2022-03-19,9.85
2022-03-20,0.04
2022-03-21,0.0
2022-03-22,8.64
2022-03-23,12.44
2022-03-24,3.3
2022-03-25,0.44
2022-03-26,0.05
2022-03-27,0.0
2022-03-28,0.0
2022-03-29,0.0
2022-03-30,5.28
2022-03-31,4.1
2022-04-01,0.21
2022-04-02,3.81
2022-04-03,1.53
2022-04-04,2.08
2022-04-05,0.07
2022-04-06,5.4
2022-04-07,0.28
2022-04-08,1.12
2022-04-09,0.28
2022-04-10,0.0
2022-04-11,0.0
2022-04-12,0.01
2022-04-13,8.29
2022-04-14,1.89
2022-04-15,0.04
2022-04-16,0.0
2022-04-17,0.04
2022-04-18,2.69
2022-04-19,0.04
2022-04-20,0.15
2022-04-21,8.32
