日期,最高气温(°C),最低气温(°C),日均温(°C),降水量(mm),高温日(>35°C),干旱日(<1mm)
2026-06-15,33.7,22.8,28.2,0.0,,Y
2026-06-16,33.8,22.1,27.9,0.0,,Y
2026-06-17,36.9,24.1,30.5,0.0,Y,Y
2026-06-18,32.3,26.9,29.6,1.1,,
2026-06-19,26.7,21.7,24.2,9.0,,
2026-06-20,30.4,19.9,25.1,0.6,,Y
2026-06-21,25.5,19.5,22.5,16.7,,
2026-06-22,27.6,18.2,22.9,0.9,,Y
2026-06-23,28.9,20.0,24.4,0.0,,Y
2026-06-24,30.1,21.3,25.7,0.0,,Y
2026-06-25,32.8,21.7,27.2,0.3,,Y
2026-06-26,31.9,21.7,26.8,0.0,,Y
2026-06-27,36.1,22.4,29.2,0.3,Y,Y
2026-06-28,37.6,25.8,31.7,2.5,Y,
2026-06-29,38.3,25.9,32.1,1.6,Y,
2026-06-30,32.6,22.0,27.3,10.4,,
2026-07-01,32.3,22.0,27.1,2.2,,
2026-07-02,35.4,25.3,30.4,0.0,Y,Y
2026-07-03,35.4,25.9,30.6,0.1,Y,Y
2026-07-04,37.0,23.5,30.2,0.0,Y,Y
2026-07-05,37.9,25.7,31.8,11.5,Y,
2026-07-06,31.4,24.2,27.8,8.7,,
2026-07-07,30.9,22.6,26.8,18.1,,
2026-07-08,33.4,25.0,29.2,0.3,,Y
2026-07-09,35.4,26.6,31.0,0.0,Y,Y
2026-07-10,35.5,28.5,32.0,0.3,Y,Y
2026-07-11,37.9,29.3,33.6,0.2,Y,Y
2026-07-12,35.3,26.4,30.8,1.2,Y,
2026-07-13,33.0,28.0,30.5,1.8,,
2026-07-14,34.5,26.8,30.6,0.2,,Y
2026-07-15,30.2,25.5,27.9,35.0,,
2026-07-16,32.8,26.0,29.4,0.0,,Y
2026-07-17,27.2,22.4,24.8,23.3,,
2026-07-18,29.6,21.1,25.4,0.0,,Y
2026-07-19,31.3,24.8,28.1,0.6,,Y
2026-07-20,31.3,22.7,27.0,0.0,,Y
2026-07-21,32.7,24.1,28.4,0.0,,Y
2026-07-22,32.8,25.1,28.9,0.4,,Y

── 面板汇总指标 ──,,,,,,
37天平均气温(°C),28.4
最高气温(°C),38.3
最低气温(°C),18.2
37天累计降水(mm),147.3
高温日数(>35°C),12 天
最长连续干旱(<1mm),6 天
近7天均温(°C),27.4
近7天降水(mm),24.3
